Id;Label;Interval;Degree;Weighted degree;Eccentricity;Closeness Centrality;Harmonic Closeness Centrality;Betweenness Centrality;PageRank;Component ID;Modularity Class;Clustering Coefficient;Number of triangles;Eigenvector Centrality
BACHELOR OF DIGITAL AND MULTIMEDIA TECHNOLOGY;BACHELOR OF DIGITAL AND MULTIMEDIA TECHNOLOGY;;1;9.0;4.0;0.26871980676328505;0.2807116104868911;0.0;5,82E+11;0;8;0.0;0;0.026841927411243107
BACHELOR OF ECONOMICS AND MANAGEMENT;BACHELOR OF ECONOMICS AND MANAGEMENT;;1;8.0;4.0;0.26742788461538464;0.27846441947565514;0.0;6,58E+11;0;9;0.0;0;0.019323431329330627
BACHELOR OF ELECTRONIC ENGINEERING;BACHELOR OF ELECTRONIC ENGINEERING;;1;9.0;4.0;0.2667865707434053;0.2773408239700371;0.0;6,60E+11;0;3;0.0;0;0.017797359773723636
BACHELOR OF INDUSTRIAL ELECTRONIC AND AUTOMATIC ENGINEERING;BACHELOR OF INDUSTRIAL ELECTRONIC AND AUTOMATIC ENGINEERING;;1;9.0;4.0;0.26176470588235295;0.26835205992509337;0.0;6,79E+11;0;1;0.0;0;0.010174393707099537
BACHELOR OF INDUSTRIAL ELECTRONIC ENGINEERING;BACHELOR OF INDUSTRIAL ELECTRONIC ENGINEERING;;1;10.0;4.0;0.2620730270906949;0.2689138576779023;0.0;7,42E+11;0;1;0.0;0;0.00985120026446035
BACHELOR OF INDUSTRIAL TECHNOLOGIES ENGINEERING;BACHELOR OF INDUSTRIAL TECHNOLOGIES ENGINEERING;;1;9.0;4.0;0.26646706586826346;0.27677902621722816;0.0;5,85E+11;0;1;0.0;0;0.022571524959775033
BACHELOR OF MATERIALS ENGINEERING;BACHELOR OF MATERIALS ENGINEERING;;1;9.0;4.0;0.26937046004842613;0.28183520599250905;0.0;5,84E+11;0;8;0.0;0;0.02533335122677969
BACHELOR OF MATHEMATICS;BACHELOR OF MATHEMATICS;;3;19.0;4.0;0.2753712871287129;0.29382022471910085;1,17E+12;0.0011484437824867573;0;8;0.0;0;0.05521075917358885
BACHELOR OF MATHEMATICS AND COMPUTER SCIENCE;BACHELOR OF MATHEMATICS AND COMPUTER SCIENCE;;1;9.0;4.0;0.263938315539739;0.2722846441947563;0.0;6,12E+11;0;3;0.0;0;0.014685860317737772
BACHELOR OF MECHATRONICS ENGINEERING;BACHELOR OF MECHATRONICS ENGINEERING;;1;9.0;4.0;0.263938315539739;0.27228464419475623;0.0;6,22E+11;0;1;0.0;0;0.01505370255126152
BACHELOR OF PHYSICS;BACHELOR OF PHYSICS;;4;34.0;4.0;0.2827191867852605;0.30655430711610465;4,39E+12;0.0014705113281647615;0;8;0.0;0;0.08250093990841664
BACHELOR OF SOCIAL COMMUNICATION AND JOURNALISM;BACHELOR OF SOCIAL COMMUNICATION AND JOURNALISM;;1;9.0;4.0;0.26300236406619387;0.2705992509363293;0.0;9,73E+11;0;5;0.0;0;0.007185605726270189
BACHELOR OF SOFTWARE ENGINEERING;BACHELOR OF SOFTWARE ENGINEERING;;1;9.0;4.0;0.2620730270906949;0.2689138576779023;0.0;6,11E+11;0;1;0.0;0;0.010870969147849099
BACHELOR OF TELECOMMUNICATION ENGINEERING;BACHELOR OF TELECOMMUNICATION ENGINEERING;;1;9.0;4.0;0.2667865707434053;0.2773408239700371;0.0;6,60E+11;0;3;0.0;0;0.017797359773723636
BACHELOR OF TELECOMMUNICATIONS ENGINEERING;BACHELOR OF TELECOMMUNICATIONS ENGINEERING;;2;18.0;4.0;0.27300613496932513;0.28895131086142295;2,56E+11;8,34E+11;0;8;0.0;0;0.041861365158484674
BACHELOR OF TELEMATICS ENGINEERING;BACHELOR OF TELEMATICS ENGINEERING;;1;9.0;4.0;0.26710684273709484;0.2779026217228462;0.0;6,43E+11;0;0;0.0;0;0.019192742337174544
BACKEND AND DEVOPS ENGINEER;BACKEND AND DEVOPS ENGINEER;;2;16.0;4.0;0.26742788461538464;0.2794007490636702;1,45E+10;8,77E+11;0;2;0.0;0;0.039025182217593775
BACKEND DEVELOPER;BACKEND DEVELOPER;;2;15.0;4.0;0.2706812652068126;0.28501872659176003;7,74E+10;9,23E+11;0;6;0.0;0;0.032110121697962894
BACKEND DEVELOPMENT;BACKEND DEVELOPMENT;;2;16.0;4.0;0.26742788461538464;0.2794007490636702;1,45E+10;8,77E+11;0;2;0.0;0;0.039025182217593775
BASH;BASH;;1;7.0;4.0;0.2620730270906949;0.2689138576779023;0.0;7,45E+11;0;1;0.0;0;0.009550714543727223
BAYESIAN NETWORKS;BAYESIAN NETWORKS;;3;24.0;4.0;0.28635778635778636;0.31123595505617957;2,13E+12;0.001126362544681167;0;3;0.0;0;0.07751236358616195
BEAUTIFULSOUP;BEAUTIFULSOUP;;1;8.0;4.0;0.2770859277708593;0.29475655430711584;0.0;6,07E+11;0;8;0.0;0;0.034235470254900154
BIG DATA;BIG DATA;;1;9.0;4.0;0.26145710928319627;0.26779026217228435;0.0;7,07E+11;0;1;0.0;0;0.00972346686595625
BIG DATA ENGINEER;BIG DATA ENGINEER;;1;8.0;4.0;0.2620730270906949;0.2689138576779023;0.0;7,45E+11;0;1;0.0;0;0.009550714543727223
BIG DATA MASTER TEACHER;BIG DATA MASTER TEACHER;;1;7.0;4.0;0.26145710928319627;0.26779026217228435;0.0;7,07E+11;0;1;0.0;0;0.00972346686595625
BIGQUERY;BIGQUERY;;3;23.0;4.0;0.2970627503337784;0.32696629213483147;2,96E+12;0.001105715879150906;0;8;0.0;0;0.09962054403535614
BOKEH;BOKEH;;1;8.0;4.0;0.2770859277708593;0.29475655430711584;0.0;6,07E+11;0;8;0.0;0;0.034235470254900154
BRUNO;BRUNO;;9;63.0;3.0;0.35205696202531644;0.36666666666666714;0.010194090369618831;0.0032561907176489576;0;1;0.0;0;0.17943884227718146
BUSINESS ANALYST;BUSINESS ANALYST;;2;17.0;4.0;0.2791718946047679;0.2990636704119848;2,93E+11;8,18E+11;0;7;0.0;0;0.054677415675552364
BUSINESS INTELLIGENCE;BUSINESS INTELLIGENCE;;1;7.0;4.0;0.2623820754716981;0.26947565543071134;0.0;6,72E+11;0;1;0.0;0;0.01181022995434406
BUSINESS INTELLIGENCE CONSULTANT;BUSINESS INTELLIGENCE CONSULTANT;;1;8.0;4.0;0.26176470588235295;0.26835205992509337;0.0;6,79E+11;0;1;0.0;0;0.010174393707099537
BUSINESS INTELLIGENCE DEVELOPER;BUSINESS INTELLIGENCE DEVELOPER;;1;9.0;4.0;0.263938315539739;0.27228464419475623;0.0;6,22E+11;0;1;0.0;0;0.01505370255126152
C;C;;1;8.0;4.0;0.26839565741857657;0.28014981273408207;0.0;5,78E+11;0;8;0.0;0;0.026198916174138668
C#;C#;;11;78.0;4.0;0.29314888010540185;0.3288389513108614;0.002174523926755342;0.0034085540338847516;0;1;0.0;0;0.15602527968788732
C++;C++;;3;18.0;4.0;0.28164556962025317;0.30393258426966274;1,58E+12;0.001113801459914805;0;1;0.0;0;0.06163846926237462
